X,,gbifID,occurrenceID,species,decimallongitude,decimallatitude,homepolygon,homepolygon.1
2618,26894,2306304532,MF786170,Orectanthe sceptrum,-60.27,5.77,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2622,27994,2309010863,MF785327,Orthaea apophysata,-59.4,5.26,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2623,27995,2308818246,MF786063,Orthaea apophysata,-59.4,5.26,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2624,27996,2305464058,MF786241,Orthaea apophysata,-59.4,5.26,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2643,28017,2310757016,EU872706,Pagamea anisophylla,-66.34,4.73,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
2646,28020,2304931423,EU872972,Pagamea anisophylla,-66.34,4.73,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3207,28665,2310818295,MF785416,Pakaraimaea dipterocarpacea,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3208,28666,2309773354,MF786381,Pakaraimaea dipterocarpacea,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3209,28667,2307162857,MF786162,Pakaraimaea dipterocarpacea,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3210,28668,2307687094,MF786367,Palhinhaea cernua,-59.84,5.31,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3211,28669,2306769235,MF786154,Palhinhaea cernua,-59.84,5.31,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3222,28687,2309956170,MF786221,Pariana radiciflora,-59.32,5.3,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3223,28688,2309115932,MF786046,Pariana radiciflora,-59.32,5.3,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3247,28770,2310849015,MF786227,Pentaclethra macroloba,-59.78,5.17,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3248,28771,2306444304,MF785315,Pentaclethra macroloba,-59.78,5.17,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3252,28777,2309619563,MF786349,Perama dichotoma,-60.85,5.48,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3253,28778,2305046980,MF785397,Perama dichotoma,-60.85,5.48,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3278,28825,2310065399,MF785383,Phragmipedium klotzschianum,-60.84,5.5,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3279,28826,2307611607,MF786116,Phragmipedium klotzschianum,-60.84,5.5,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3280,28827,2306607146,MF786321,Phragmipedium klotzschianum,-60.84,5.5,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3323,28880,2309234418,MF785402,Piptocoma schomburgkii,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3324,28881,2306861129,MF786362,Piptocoma schomburgkii,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3325,28882,2306801939,MF786150,Piptocoma schomburgkii,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3330,28889,2306576869,MF786112,Pityrogramma calomelanos,-60.84,5.5,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3331,28890,2305247519,MF786312,Pityrogramma calomelanos,-60.84,5.5,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3368,29010,2310398648,MF785387,Pradosia beardii,-60.85,5.48,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3369,29011,2306264194,MF786329,Pradosia beardii,-60.85,5.48,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3385,29030,2307743559,MF786123,Pseudolycopodiella contexta,-60.68,5.62,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3386,29031,2306243042,MF786330,Pseudolycopodiella contexta,-60.68,5.62,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3464,29220,2309368771,MF786148,Qualea schomburgkiana,-60.84,5.52,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3465,29221,2308967201,MF786358,Qualea schomburgkiana,-60.84,5.52,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3481,29268,2307751641,MF786153,Rhodostemonodaphne kunthiana,-60.57,5.21,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3482,29269,2307362110,MF786366,Rhodostemonodaphne kunthiana,-60.57,5.21,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3483,29270,2307137435,MF785404,Rhodostemonodaphne kunthiana,-60.57,5.21,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3484,29272,2309440106,MF785372,Rhoogeton cyclophyllus,-60.7,5.61,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3485,29273,2308906715,MF786303,Rhoogeton cyclophyllus,-60.7,5.61,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3486,29274,2307552271,MF786106,Rhoogeton cyclophyllus,-60.7,5.61,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3487,29275,2308150531,MF786392,Rhynchanthera grandiflora,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3488,29276,2306920180,MF785425,Rhynchanthera grandiflora,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3489,29277,2305554944,MF786169,Rhynchanthera grandiflora,-60.3,5.71,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3490,29278,2308170834,MF786398,Richeria grandis,-60.51,5.24,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3491,29279,2304669233,MF785429,Richeria grandis,-60.51,5.24,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3516,29306,2305469047,MF786280,Ryania speciosa,-59.41,5.26,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3585,29466,2309682533,MF786183,Sarcopera tepuiensis,-60.24,5.81,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3586,29467,2309023368,MF786415,Sarcopera tepuiensis,-60.24,5.81,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3589,29470,2309929967,MF786178,Saxo-fridericia regalis,-60.27,5.77,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3590,29471,2304514061,MF786405,Saxo-fridericia regalis,-60.27,5.77,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
3624,29601,2304240695,MF786413,Serpocaulon caceresii,-60.87,5.54,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
4308,30989,2305272265,MF785305,Stenopadus talaumifolius,-61.16,5.83,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
4309,30990,2304601143,MF786207,Stenopadus talaumifolius,-61.16,5.83,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
4495,31196,2309188440,MF785334,Tachia guianensis,-59.49,5.32,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
4496,31197,2304933254,MF786250,Tachia guianensis,-59.49,5.32,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
4741,31565,2307285460,MF785341,Trattinnickia burserifolia,-60.52,5.24,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
4785,31710,2304708399,MF786363,Vellozia tubiflora,-60.27,5.74,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
4786,31711,2304639863,MF786151,Vellozia tubiflora,-60.27,5.74,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
4795,31723,2308902266,MF785377,Voyria aphylla,-60.7,5.61,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
5011,31957,2306920054,MF786442,Xyris jupicai,-59.84,5.31,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
5012,31958,2304454195,MF786203,Xyris jupicai,-59.84,5.31,Tropical & Subtropical Moist Broadleaf Forests,Guianan Highlands moist forests
8,1131,2307930842,MF786095,Actinostachys pennula,-58.32,3.4,Tropical & Subtropical Moist Broadleaf Forests,Guianan lowland moist forests
9,1132,2307769232,MF785361,Actinostachys pennula,-58.32,3.4,Tropical & Subtropical Moist Broadleaf Forests,Guianan lowland moist forests
10,1133,2305351045,MF786291,Actinostachys pennula,-58.32,3.4,Tropical & Subtropical Moist Broadleaf Forests,Guianan lowland moist forests
13,1136,2310135493,MF786092,Adenocalymma inundatum,-58.17,3.35,Tropical & Subtropical Moist Broadleaf Forests,Guianan lowland moist forests
14,1137,2307755006,MF786287,Adenocalymma inundatum,-58.17,3.35,Tropical & Subtropical Moist Broadleaf Forests,Guianan lowland moist forests
36,1225,2308020602,MF785349,Alexa surinamensis,-56.53,4.39,Tropical & Subtropical Moist Broadleaf Forests,Guianan lowland moist forests
37,1226,2307286407,MF786266,Alexa surinamensis,-56.53,4.39,Tropical & Subtropical Moist Broadleaf Forests,Guianan lowland moist forests
53,1287,2309052380,MF785365,Amphilophium magnoliifolium,-58.25,3.52,Tropical & Subtropical Moist Broadleaf Forests,Guianan lowland moist forests
54,1288,2305025312,MF786296,Amphilophium magnoliifolium,-58.25,3.52,Tropical & Subtropical Moist Broadleaf Forests,Guianan lowland moist forests
