X,X.1,gbifID,occurrenceID,species,decimallongitude,decimallatitude,homepolygon,homepolygon.1,
1209,1379,5265,2308380189,KJ734539,Ficus insipida,-71.36,-11.89,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1210,1381,5267,2308373690,KJ734533,Ficus insipida,-75.36,-11.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1211,1382,5268,2308365415,KJ734554,Ficus insipida,-69.52,-12.05,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1212,1391,5279,2307921267,KJ734445,Ficus insipida,-67.45,-11.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1213,1394,5284,2307666441,KJ734440,Ficus insipida,-69.01,-11.4,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1214,1395,5285,2307655704,KJ734555,Ficus insipida,-69.01,-11.41,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1215,1396,5286,2307580075,KJ734388,Ficus insipida,-75.35,-11,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1216,1398,5288,2307558930,KJ734395,Ficus insipida,-75.35,-11.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1217,1400,5290,2307514344,KJ734345,Ficus insipida,-73.65,-4.89,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1218,1401,5291,2307494726,KJ734551,Ficus insipida,-70.1,-12.56,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1219,1402,5292,2307488296,KJ734550,Ficus insipida,-70.1,-12.56,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1220,1403,5293,2307486796,KJ734439,Ficus insipida,-69.01,-11.4,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1221,1404,5294,2307482192,KJ734393,Ficus insipida,-75.36,-11.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1222,1406,5296,2307468652,KJ734431,Ficus insipida,-70.1,-12.5,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1223,1411,5301,2307338445,KJ734438,Ficus insipida,-69.01,-11.4,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1224,1413,5304,2307308195,KJ734424,Ficus insipida,-69.29,-12.8,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1225,1417,5309,2307117298,KJ734552,Ficus insipida,-70.1,-12.56,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1226,1421,5313,2306925727,KJ734509,Ficus insipida,-73.73,-4.91,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1227,1424,5316,2306765539,KJ734390,Ficus insipida,-75.35,-11.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1228,1425,5317,2306725864,KJ734512,Ficus insipida,-73.65,-4.89,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1229,1427,5319,2306697381,KJ734553,Ficus insipida,-70.1,-12.56,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1230,1428,5321,2306597894,KJ734421,Ficus insipida,-71.37,-12.8,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1231,1430,5323,2306564611,KJ734434,Ficus insipida,-69.52,-12,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1232,1432,5325,2306542897,KJ734433,Ficus insipida,-70.1,-12.5,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1233,1433,5326,2306493518,KJ734437,Ficus insipida,-69.01,-11.4,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1234,1434,5327,2306483508,KJ734435,Ficus insipida,-69.01,-11.4,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1235,1437,5330,2306435479,KJ734389,Ficus insipida,-75.35,-11,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1236,1438,5331,2306426260,KJ734430,Ficus insipida,-70.1,-12.5,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1237,1439,5332,2306371770,KJ734426,Ficus insipida,-69.29,-12.8,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1238,1441,5334,2306330044,KJ734510,Ficus insipida,-73.72,-4.91,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1239,1443,5336,2306262025,KJ734391,Ficus insipida,-75.35,-11.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1240,1444,5337,2306236563,KJ734387,Ficus insipida,-75.35,-11,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1241,1445,5338,2306208071,KJ734556,Ficus insipida,-67.47,-11.15,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1242,1446,5339,2306125063,KJ734427,Ficus insipida,-69.29,-12.8,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1243,1449,5343,2305890927,KJ734344,Ficus insipida,-73.7,-4.92,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1244,1456,5350,2305671772,KJ734549,Ficus insipida,-69.29,-12.84,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
