"gbifID";"occurrenceID";"kingdom";"phylum";"class";"order";"family";"genus";"species"
"129";2308589834;"KU160003";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"130";2308562757;"LT630634";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"131";2308531931;"KU159997";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"132";2308525106;"EU872661";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"133";2308483501;"EU872835";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"134";2308475961;"JX273521";"Plantae";"Tracheophyta";"Polypodiopsida";"Salviniales";"Salviniaceae";"Azolla";""
"135";2308414078;"LT630666";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"136";2308394609;"KU160061";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"137";2308377181;"LT630633";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"138";2308373950;"EU872867";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"139";2308361738;"KU160011";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"140";2308316390;"KU160049";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"141";2308316283;"LT630674";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"142";2308299052;"KU159984";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"143";2308290997;"KU160008";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"144";2308269292;"KP878503";"Plantae";"Chlorophyta";"Trebouxiophyceae";"Chlorellales";"Chlorellaceae";"Chlorella";""
"145";2308206756;"KP878506";"Plantae";"Chlorophyta";"Chlorophyceae";"Sphaeropleales";"Scenedesmaceae";"Scenedesmus";""
"146";2308189966;"EU872794";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"147";2308165675;"KU160052";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"148";2308161004;"KU160001";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"149";2308158616;"LT630683";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"150";2307871807;"LT630639";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"151";2307869032;"KU159992";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"152";2307849342;"LT630651";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"153";2307839529;"LT630630";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"154";2307827305;"LT630621";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"155";2307790315;"KU159807";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"156";2307776679;"KP878499";"Plantae";"Chlorophyta";"Chlorophyceae";"Sphaeropleales";"Selenastraceae";"Ankistrodesmus";""
"157";2307706376;"KU160086";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"158";2307695863;"LT630669";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"159";2307652345;"LT630662";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"160";2307644085;"LT630619";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"161";2307640614;"JX297306";"Plantae";"Tracheophyta";"Polypodiopsida";"Salviniales";"Salviniaceae";"Azolla";""
"162";2307562791;"KU160059";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"163";2307555401;"KU159983";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"164";2307537029;"EU872869";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"165";2307528384;"EU872822";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"166";2307481363;"EU872664";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"167";2307442967;"KU159808";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"168";2307392904;"JN661808";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Bignoniaceae";"Jacaranda";""
"169";2307293687;"EU872660";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"170";2307145875;"JX280878";"Plantae";"Tracheophyta";"Polypodiopsida";"Salviniales";"Salviniaceae";"Azolla";""
"171";2307137039;"KU159776";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"172";2307128827;"EU872920";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"173";2307125040;"KU160080";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"174";2307104461;"KP878498";"Plantae";"Chlorophyta";"Chlorophyceae";"Sphaeropleales";"Selenastraceae";"Ankistrodesmus";""
"175";2307051404;"LT630654";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"176";2307020869;"EU872684";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"177";2306920085;"EU872685";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"178";2306698087;"EU872656";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"179";2306621619;"LT630657";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"180";2306590404;"HF583402";"Plantae";"Chlorophyta";"Ulvophyceae";"Bryopsidales";"Bryopsidaceae";"Bryopsis";""
"181";2306546731;"LT630650";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"182";2306538737;"KU159885";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"183";2306527013;"HF583322";"Plantae";"Chlorophyta";"Ulvophyceae";"Bryopsidales";"Bryopsidaceae";"Bryopsis";""
"184";2306463315;"HF583323";"Plantae";"Chlorophyta";"Ulvophyceae";"Bryopsidales";"Bryopsidaceae";"Bryopsis";""
"185";2306423515;"LT630664";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"186";2306378964;"KU159883";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"187";2306298991;"EU872690";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"188";2306294043;"KU160082";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"189";2306282590;"KU160085";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"190";2306257073;"LT630653";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"191";2306215463;"KU159900";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"192";2306178119;"EU872760";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"193";2306173643;"LT630652";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"194";2306128900;"EU872697";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"195";2306102797;"KU160072";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"196";2306096796;"EU872782";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"197";2306086294;"EU872894";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"198";2306064550;"KU159882";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"199";2305968738;"KT355747";"Plantae";"Chlorophyta";"Chlorophyceae";"Sphaeropleales";"Selenastraceae";"Planktococcomyxa";""
"200";2305951878;"LT630618";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"201";2305951170;"KU160083";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"202";2305894953;"KT355748";"Plantae";"Chlorophyta";"Chlorophyceae";"Sphaeropleales";"Selenastraceae";"Planktococcomyxa";""
"203";2305893451;"LT630617";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"204";2305817632;"KU160081";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"205";2305783724;"KT355746";"Plantae";"Chlorophyta";"Chlorophyceae";"Sphaeropleales";"Selenastraceae";"Planktococcomyxa";""
"206";2305700107;"KU159895";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"207";2305617274;"EU872852";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"208";2305555564;"LT630655";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"209";2305464869;"HF583401";"Plantae";"Chlorophyta";"Ulvophyceae";"Bryopsidales";"Bryopsidaceae";"Bryopsis";""
"210";2305291492;"EU872655";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"211";2305246245;"KU159887";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"212";2305238272;"EU872983";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"213";2305151842;"KU159886";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"214";2305149349;"KU159902";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"215";2305077775;"LT630665";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"216";2305057886;"LT630658";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"217";2305053552;"KP878496";"Plantae";"Chlorophyta";"Chlorophyceae";"Sphaeropleales";"Selenastraceae";"Ankistrodesmus";""
"218";2305045735;"LT630668";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
